503	3.4E-3	3.7358E-1	2.3618E-1
504	2.9E-3	3.9044E-1	2.2424E-1
505	2.4E-3	4.073E-1	2.123E-1
506	3.78E-3	4.2644E-1	2.0148E-1
507	5.16E-3	4.4558E-1	1.9066E-1
508	6.54E-3	4.6472E-1	1.7984E-1
509	7.92E-3	4.8386E-1	1.6902E-1
510	9.3E-3	5.03E-1	1.582E-1
511	1.326E-2	5.2404E-1	1.489E-1
512	1.722E-2	5.4508E-1	1.396E-1
513	2.118E-2	5.6612E-1	1.303E-1
514	2.514E-2	5.8716E-1	1.21E-1
515	2.91E-2	6.082E-1	1.117E-1
516	3.594E-2	6.2856E-1	1.05E-1
517	4.278E-2	6.4892E-1	9.83E-2
518	4.962E-2	6.6928E-1	9.16E-2
519	5.646E-2	6.8964E-1	8.49E-2
520	6.33E-2	7.1E-1	7.82E-2
521	7.256E-2	7.2664E-1	7.402E-2
522	8.182E-2	7.4328E-1	6.984E-2
523	9.108E-2	7.5992E-1	6.566E-2
524	1.0034E-1	7.7656E-1	6.148E-2
525	1.096E-1	7.932E-1	5.73E-2
526	1.2078E-1	8.0696E-1	5.428E-2
527	1.3196E-1	8.2072E-1	5.126E-2
528	1.4314E-1	8.3448E-1	4.824E-2
529	1.5432E-1	8.4824E-1	4.522E-2
530	1.655E-1	8.62E-1	4.22E-2
531	1.7754E-1	8.7258E-1	3.972E-2
532	1.8958E-1	8.8316E-1	3.724E-2
533	2.0162E-1	8.9374E-1	3.476E-2
534	2.1366E-1	9.0432E-1	3.228E-2
535	2.257E-1	9.149E-1	2.98E-2
536	2.3864E-1	9.2272E-1	2.79E-2
537	2.5158E-1	9.3054E-1	2.6E-2
538	2.6452E-1	9.3836E-1	2.41E-2
539	2.7746E-1	9.4618E-1	2.22E-2
540	2.904E-1	9.54E-1	2.03E-2
541	3.0426E-1	9.5926E-1	1.892E-2
542	3.1812E-1	9.6452E-1	1.754E-2
543	3.3198E-1	9.6978E-1	1.616E-2
544	3.4584E-1	9.7504E-1	1.478E-2
545	3.597E-1	9.803E-1	1.34E-2
546	3.7444E-1	9.8324E-1	1.246E-2
547	3.8918E-1	9.8618E-1	1.152E-2
